url,source,domain,title,page_count,estimated_steps,length_bucket,language,has_steps,has_safety_clauses,license,redistribute_ok,bytes,sha256
https://www.osha.gov/sites/default/files/enforcement/directives/adm-03-00-008.pdf,osha,general,ADM 03-00-008 OSHA Clearance Process for Non-Policy and Policy Issuances,39,118,long,en,True,True,US Gov public domain,yes,624821,247bb79066fea4335ed82452217abfd28d39e66d2f8b5f395ddb22eca42a8ee9
https://www.nrc.gov/docs/ML0407/ML040700638.pdf,nrc,chemical,"IP 69005, ""Class I Research and Test Reactor Experiments.""",8,8,short,en,True,True,US Gov public domain,yes,32778,2284b892194417760502bdd70e136f054fb79bc763ccd20fbd9762e2367f55a3
https://www.cdc.gov/labs/media/pdfs/2025/08/SF__19a_308133-A_BMBL6_00-BOOK-WEB-final-3.pdf,cdc,chemical,Biosafety in Microbiological and Biomedical Laboratories—6th Edition,614,20,medium,en,True,True,US Gov public domain,yes,4974034,3b789378bd365cac9aa973fae5852dc0f21c7607494264f9305ddf1b23093066
https://www.epa.gov/sites/default/files/2017-04/documents/final_edited_revision_microbiology_method_guidance_122116.pdf,epa,chemical,Method Validation of U.S. EPA Microbiological Methods of Anaylsis,78,68,long,en,True,True,US Gov public domain,yes,1160552,5ccee9415fed1cee65eaa0f719545c2e68aeda3b322bd919a0bd20f89ca9e65d
https://www.osha.gov/sites/default/files/publications/osha2254.pdf,osha,general,Training Requirements in OSHA Standards,270,61,long,en,True,True,US Gov public domain,yes,5945412,a9fa7483da96a1bebe0cc5d94c392246aedaf08fb86a210c1dfdbe42f88e5be2
https://www.nrc.gov/docs/ML0407/ML040710023.pdf,nrc,chemical,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",6,4,short,en,True,True,US Gov public domain,yes,27781,1e8543bf95dd1fc07bfa53f17e0260acd131fb5014a3090419ec9c23052b4948
https://www.cdc.gov/labs/media/pdfs/2024/05/accomplishments-2016-top10.pdf,cdc,chemical,NCEZID_Top 10 Accomplishments,20,16,short,en,True,True,US Gov public domain,yes,10436838,88bd6627c36a69053341971f87294282f57597247ec464e030feaa25119c7c48
https://www.epa.gov/system/files/documents/2023-04/Draft%20Method%20327%20%28clean%20proposal%20version%29.pdf,epa,chemical,Draft METHOD 327 - Fugitive and Area Source Measurement of Selected Volatile Organic Hazardous Air Pollutants Using Specially Prepared Canisters,54,51,long,en,True,True,US Gov public domain,yes,803142,b8f46c5ffca435c13b8f0e2e1acf386027ae6d6952876205f9526a5904333ba8
https://www.osha.gov/sites/default/files/otm_secIV_chap6.pdf,osha,general,"OSHA Technical Manual - Section IV, Chapter 6, Combustible Dusts",156,7,short,en,True,True,US Gov public domain,yes,3080623,f7d91ded58525990386db506e69461a1c68a670b80eff3dfc7715815d006610c
https://www.nrc.gov/docs/ML0407/ML040710129.pdf,nrc,chemical,"IP 69012, ""Class I Research and Test Reactors Radiation Protection.""",10,3,short,en,True,True,US Gov public domain,yes,43551,6a7b67ee112eb8bfd008f5871e03fba9fa73e31135bb43cdfea7bce77ea5f210
https://www.nrc.gov/docs/ML2021/ML20218A248.pdf,nrc,chemical,SRM-COMSECY-20-0012: Enclosure 1 - Memorandum of Understanding Between the U.S. Environmental Protection Agency and U.S. Nuclear Regulatory Commission on Uranium in situ Recovery Activities,8,38,medium,en,True,False,US Gov public domain,yes,3641163,41f79bcd69e6c94bfdbf8489982cfed31af04c3c98378abb42fc5bf727efd236
https://www.cdc.gov/other/pdf/CDC-ET-2007-1_EXT.pdf,cdc,general,Administration of Gifts (Policy 20170329),25,45,long,en,True,False,US Gov public domain,yes,353832,835552e3953884cfe7af9f3f26ef345c5e99a57be243ad7c5dd0aa7f6e460392
https://www.epa.gov/system/files/documents/2023-04/2023%20Final%20Revisions%20Rule.pdf,epa,chemical,2023%20Final%20Revisions%20Rule,28,58,long,en,True,False,US Gov public domain,yes,1970274,04a644830f6831fc71aa8dfe7a4bc0640d9a1bdf975ca31f3e9c8019e56e0678
https://www.nrc.gov/docs/ML1821/ML18214A663.pdf,nrc,chemical,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",56,9,short,en,True,False,US Gov public domain,yes,1554082,8a79c085f20765034330e0020d351d834970d2954948621169278aa175b49241
https://www.cdc.gov/other/pdf/Sponsorship-Conferences-9-26-08-CDC.pdf,cdc,general,Securing Approval for Sponsorship of Conferences,11,14,short,en,True,False,US Gov public domain,yes,244206,c0b6acb173ada5a172a70648213e6558b4e6580f67d604f4e9353412f0b9eec8
https://www.epa.gov/sites/default/files/2015-01/documents/biosampling_validity_guidance.pdf,epa,chemical,Validation of U.S. Environmental Protection Agency Environmenatl Sampling Techniques that Support the Detection and Recovery of Microorganisms,43,48,long,en,True,True,US Gov public domain,yes,763235,e5da4ad79539297f4a03b8ef66a3fb2f08932902f785d7c437eecc238c818997
https://www.cdc.gov/other/pdf/FSG-Policy-CDC-20230725.pdf,cdc,food,Food Service Guidelines in CDC-Owned or -Operated Dining and Vending Facilities,8,13,short,en,True,False,US Gov public domain,yes,211796,82fccf27ff461fe5cae0fa3e89b37e6d44274f539d38dc637821ba0401aa8199
https://www.epa.gov/system/files/documents/2023-03/FRL5937-02-OAR_Method%2023%20Final_20230221_ADMIN.pdf,epa,chemical,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,43,32,medium,en,True,True,US Gov public domain,yes,1410819,75c807b2d39e48fc25c9ca3d161fe403a26e6955fc0c792f8d664e6031890414
https://www.cdc.gov/other/pdf/Peer-Review-CDC-20230726.pdf,cdc,general,CATEGORY:  General Administration,7,13,short,en,True,False,US Gov public domain,yes,214315,5fb34d2ba365ad5946c17b1d0b8eb16a9fbfe8c0a10243b53a41940059187c39
https://www.epa.gov/system/files/documents/2024-01/otm-50-release-1.pdf,epa,chemical,Otm 50 Release 1,53,16,short,en,True,True,US Gov public domain,yes,1039973,0b453920a38f7a7e43f5b6aa128e93c278fb683e4c154233690f605d2c71b2e0
https://www.epa.gov/sites/default/files/2014-05/documents/radiochemmethod_validity_guide.pdf,epa,chemical,USEPA: FEM: Validation and Peer Review of U.S. Environmental Protection Agency Radiochemical Methods of Analysis,24,21,medium,en,True,False,US Gov public domain,yes,151529,146105dc375f391765e443d7572a46f650ea1e9354c8f0190e53c5ca409a5fca
https://www.epa.gov/sites/default/files/2016-02/documents/radiochem_method_guide_revised_020316_00000002.pdf,epa,chemical,US EPA: FEM: Validation and Peer Review of U.S. Environmental Protection Agency Sampling Methods for Chemical and Radiochemical Parameters,25,15,short,en,True,True,US Gov public domain,yes,219256,4f3770cda38b07b3bfb9b464d17ab009e477005e227e81bc76aaa26350a5ddfb
https://www.epa.gov/sites/default/files/2016-02/documents/chemical_method_guide_revised_020316.pdf,epa,chemical,US EPA: OSA: Validation and Peer Review of U.S. Environmental Protection Agency Chemical Methods of Analysis,23,18,short,en,True,False,US Gov public domain,yes,220851,2d1fa8652677712e3e3ed8b04137c83c34658db89aef3d9742b1a89f2c55d301
https://www.epa.gov/sites/production/files/2020-08/documents/ps-10.pdf,epa,chemical,D:\EMCNEW\PROPOSED\PS-10.PDF,11,17,short,en,True,False,US Gov public domain,yes,43354,90ccf55f921c31f10a3d695cfe748e644c1fabf9d2fef8bf5bd7521b44fd33b1
https://www.epa.gov/system/files/documents/2024-02/method320_forweb_1.pdf,epa,chemical,Method320 Forweb 1,15,5,short,en,True,True,US Gov public domain,yes,762840,bd6dd13a31a09a7238719788d28d0f02bbb717a331e7ad7f4cdeab90ea6e6add
https://www.epa.gov/system/files/documents/2025-06/epa-sab-22-001.pdf,epa,chemical,Epa Sab 22 001,118,5,short,en,True,False,US Gov public domain,yes,2584523,aa91dbe564b7b683248c2f59622697f86130d3836a8af3129653a1d697330f0e
