stratum,n,chunker,count_fid,pre_recall,tau,sprec,f1,orph
osha,3,fixed,0.3582,0.0,0.1092,0.1431,0.0,0.0638
osha,3,recursive,0.3206,0.0,0.1416,0.1591,0.0159,0.1773
osha,3,semantic,0.3814,0.3611,0.1538,0.2349,0.0,0.1806
osha,3,layout_aware,0.3524,0.0,0.0554,0.1622,0.0,0.29
osha,3,pac,0.3717,0.0,0.2142,0.2336,0.0351,0.1548
nrc,5,fixed,0.3512,0.2167,0.5852,0.3122,0.0674,0.1431
nrc,5,recursive,0.3431,0.2,0.4885,0.2736,0.0574,0.1798
nrc,5,semantic,0.3849,0.0917,0.4694,0.3335,0.0508,0.2511
nrc,5,layout_aware,0.3798,0.1917,0.4127,0.3027,0.0182,0.1773
nrc,5,pac,0.723,0.225,0.3456,0.352,0.0667,0.0222
cdc,6,fixed,0.4492,0.25,0.2405,0.343,0.029,0.3529
cdc,6,recursive,0.397,0.2667,0.3656,0.2263,0.0238,0.3176
cdc,6,semantic,0.4136,0.0667,0.2227,0.238,0.0,0.3624
cdc,6,layout_aware,0.2992,0.0833,0.3734,0.3985,0.023,0.2775
cdc,6,pac,0.4465,0.3833,0.3043,0.2952,0.0476,0.3528
epa,12,fixed,0.3651,0.1558,0.0865,0.1424,0.0341,0.227
epa,12,recursive,0.3746,0.121,0.1312,0.1778,0.039,0.1987
epa,12,semantic,0.4406,0.125,0.171,0.1715,0.0444,0.1977
epa,12,layout_aware,0.4518,0.2698,-0.0237,0.1688,0.0344,0.1616
epa,12,pac,0.3882,0.2946,0.1168,0.1645,0.0119,0.1864
